,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total,clusters,cluster
9018,32,86,379,18,479,5845,1,purple
9019,0,5,5,0,5,66,0,pink
9020,0,5,0,0,5,126,0,pink
9021,5,5,5,5,5,157,0,pink
9022,0,5,5,0,11,226,0,pink
9023,5,19,66,5,87,990,0,pink
9024,5,16,85,5,103,1193,0,pink
9025,5,25,98,5,128,1474,0,pink
9026,12,15,115,5,135,1613,0,pink
9027,460,5,453,155,765,6045,1,purple
9028,0,0,0,0,0,75,0,pink
9029,5,0,5,0,5,126,0,pink
9030,5,0,5,0,5,165,0,pink
9031,5,0,5,5,17,234,0,pink
9032,73,0,67,21,119,1034,0,pink
9033,106,5,95,31,171,1209,0,pink
9034,124,5,123,43,208,1472,0,pink
9035,146,5,155,59,244,1730,0,pink
9036,405,5,371,130,647,5895,1,purple
9037,0,0,5,0,5,84,0,pink
9038,5,0,5,0,5,164,0,pink
9039,0,0,5,0,5,188,0,pink
9040,5,0,5,0,16,248,0,pink
9041,38,0,51,14,75,1000,0,pink
9042,75,5,80,28,128,1186,0,pink
9043,121,0,122,46,197,1404,0,pink
9044,163,0,103,42,224,1621,0,pink
9045,196,5,281,55,423,5419,1,purple
9046,0,0,5,0,5,77,0,pink
9047,5,0,5,0,5,159,0,pink
9048,5,0,5,5,5,176,0,pink
9049,5,0,5,5,12,209,0,pink
9050,23,5,27,5,46,940,0,pink
9051,33,0,69,10,92,1131,0,pink
9052,45,0,71,10,106,1276,0,pink
9053,88,0,96,28,156,1451,0,pink
9054,272,5,318,93,497,5907,1,purple
9055,0,0,5,0,5,73,0,pink
9056,5,0,5,0,5,191,0,pink
9057,5,0,5,5,5,185,0,pink
9058,5,0,5,5,10,233,0,pink
9059,41,0,50,18,73,1054,0,pink
9060,60,0,73,20,113,1168,0,pink
9061,69,0,93,27,135,1398,0,pink
9062,92,5,86,21,157,1605,0,pink
9063,487,5,464,195,759,6143,1,purple
9064,0,0,5,0,5,67,0,pink
9065,5,5,5,5,5,165,0,pink
9066,5,0,5,5,5,177,0,pink
9067,12,0,18,5,23,250,0,pink
9068,61,5,62,26,98,1050,0,pink
9069,98,5,97,39,157,1224,0,pink
9070,135,0,132,59,208,1504,0,pink
9071,175,0,144,60,259,1706,0,pink
9072,679,0,502,280,901,6146,1,purple
9073,0,0,5,0,5,81,0,pink
9074,5,0,5,0,5,130,0,pink
9075,5,0,5,5,5,136,0,pink
9076,17,0,15,5,27,250,0,pink
9077,63,0,58,25,96,993,0,pink
9078,155,0,111,70,196,1296,0,pink
9079,199,0,151,90,260,1504,0,pink
9080,239,0,164,89,314,1756,0,pink
9081,1123,5,706,452,1377,6897,1,purple
9082,5,0,5,0,5,84,0,pink
9083,5,0,5,5,5,111,0,pink
9084,5,0,5,5,5,173,0,pink
9085,17,0,13,5,22,243,0,pink
9086,127,0,107,65,169,1153,0,pink
9087,232,5,159,105,286,1382,0,pink
9088,334,0,225,150,409,1725,0,pink
9089,404,0,197,122,479,2026,0,pink
9090,2071,5,1243,943,2371,7941,1,purple
9091,5,0,5,0,5,81,0,pink
9092,5,0,5,5,5,126,0,pink
9093,5,0,5,5,11,186,0,pink
9094,40,0,22,16,46,242,0,pink
9095,228,5,150,114,264,1195,0,pink
9096,418,0,270,206,482,1634,0,pink
9097,611,5,389,303,697,2060,0,pink
9098,760,0,401,300,861,2417,0,pink
9099,2334,5,1429,1102,2662,8479,1,purple
9100,0,0,5,0,5,65,0,pink
9101,5,0,5,5,5,122,0,pink
9102,5,0,5,5,13,176,0,pink
9103,36,0,20,15,41,255,0,pink
9104,266,0,187,145,308,1310,0,pink
9105,483,5,322,249,556,1740,0,pink
9106,679,5,436,344,772,2202,0,pink
9107,855,0,454,344,965,2609,0,pink
9108,1741,5,1126,821,2046,7616,1,purple
9109,5,0,5,0,5,72,0,pink
9110,5,0,5,5,5,122,0,pink
9111,12,0,5,5,16,186,0,pink
9112,31,0,21,12,40,286,0,pink
9113,208,5,158,115,251,1183,0,pink
9114,369,0,273,206,436,1577,0,pink
9115,520,0,352,268,604,1962,0,pink
9116,592,5,309,213,688,2228,0,pink
9117,639,0,560,315,884,5860,1,purple
9118,0,0,0,0,0,82,0,pink
9119,0,0,5,0,5,96,0,pink
9120,5,0,5,0,5,162,0,pink
9121,12,0,5,5,16,262,0,pink
9122,94,0,100,54,140,990,0,pink
9123,160,0,126,79,207,1255,0,pink
9124,178,0,169,96,251,1448,0,pink
9125,192,0,155,84,263,1565,0,pink
9126,325,0,401,159,567,5861,1,purple
