deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
5,0,0,0,5,37
0,0,0,0,0,0
0,0,0,0,0,5
5,0,0,0,5,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
375,5,228,99,511,13772
0,0,5,0,5,46
5,5,5,0,5,166
5,5,5,,10,380
13,0,5,0,16,541
55,0,32,15,72,2267
68,5,48,20,99,3024
120,0,70,33,157,3668
110,5,70,29,153,3680
211,5,186,63,339,4346
0,0,0,0,0,0
0,0,0,0,0,5
0,0,5,0,5,26
5,5,5,,5,82
15,0,17,,29,652
37,5,38,13,63,1015
74,5,63,27,111,1318
83,5,64,19,130,1249
622,5,193,93,724,4748
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,5
0,0,0,0,0,5
16,0,5,,17,153
61,0,20,,73,506
175,5,55,30,201,1275
370,5,113,51,433,2802
23,0,28,,44,2055
0,0,0,0,0,37
0,0,0,0,0,220
0,0,0,0,0,255
5,0,5,,5,223
5,0,5,0,5,446
5,0,5,,10,248
5,0,5,,10,251
5,0,10,,15,375
5,0,0,0,5,5
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,5
5,0,0,0,5,5
0,0,0,0,0,5
0,0,0,0,0,0
2206,25,2871,1663,3435,23191
13,5,21,,32,691
15,0,22,11,26,703
67,5,77,49,96,1051
112,5,137,80,173,1356
564,5,695,430,831,5376
580,5,763,452,897,5296
454,5,609,334,730,4391
401,5,547,302,650,4327
1698,22,2394,1344,2768,11929
11,5,15,,25,547
13,0,20,10,23,217
55,5,65,39,82,395
89,5,116,65,144,654
446,5,592,357,683,2911
464,5,667,380,757,3090
360,5,528,281,608,2431
260,5,391,208,446,1684
88,0,84,59,113,1337
5,0,5,,5,95
5,0,5,,5,175
5,0,5,,5,152
5,0,5,,5,134
28,0,22,18,32,338
21,0,21,16,26,192
15,0,5,,18,136
15,0,19,12,22,115
0,0,0,0,0,5
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,5
0,0,0,0,0,0
0,0,0,0,0,0
188,5,166,110,244,5898
0,0,5,0,5,22
5,0,5,0,5,86
5,0,5,,5,204
12,0,12,,16,282
53,5,46,31,68,1360
43,0,35,27,51,1317
30,5,20,15,35,1127
43,0,45,24,64,1500
40,0,53,32,61,775
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,15
0,0,0,0,0,38
5,0,5,,5,165
5,0,5,,13,191
11,0,19,10,20,189
16,0,21,15,22,175
160,0,136,96,200,1608
0,0,0,0,0,5
0,0,0,0,0,5
5,0,5,,5,5
5,0,5,,5,5
19,0,17,12,24,147
37,0,24,19,42,329
37,0,31,22,46,422
63,0,62,41,84,689
32,5,38,22,49,1641
0,0,0,0,0,22
0,0,0,0,0,222
5,0,5,,5,277
5,0,5,,5,241
14,0,14,10,18,454
5,0,5,,5,175
5,0,5,0,5,86
5,5,5,,12,164
0,0,0,0,0,5
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,5
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
79952,1182,91499,49246,123275,824730
105,28,178,38,270,7433
530,16,574,304,814,13727
1446,35,1495,910,2065,21912
3386,56,3282,2217,4506,31616
14064,196,15286,9219,20311,128848
17492,263,20627,11365,26989,162693
21694,315,25886,13505,34364,212256
21235,273,24171,11688,33956,246245
54166,761,63999,38246,80603,244605
66,16,94,23,151,4243
393,10,438,256,583,3047
1117,23,1197,790,1546,5852
2685,39,2729,1953,3499,10625
11152,132,12289,8002,15558,46861
13534,193,15952,9675,19984,58513
14751,196,18106,10405,22631,66108
10468,152,13194,7142,16651,49356
2623,56,2369,1062,3983,52068
27,5,50,,75,1544
55,5,39,16,81,2567
106,5,73,34,148,3354
210,5,145,80,282,4132
610,11,425,226,819,11416
540,13,499,214,837,10438
590,5,608,262,943,10632
485,5,530,222,798,7985
34,0,17,11,40,620
0,0,0,0,0,16
0,0,0,0,0,26
5,0,5,0,5,36
5,0,5,,5,55
14,0,5,,14,140
5,0,5,,5,127
5,0,5,,5,125
5,0,5,,5,95
5682,92,5450,1989,9231,234221
5,5,24,,32,726
49,5,45,16,80,3154
134,5,106,49,196,5996
278,5,171,87,367,8659
996,25,721,324,1418,37866
902,18,887,288,1517,46433
1370,17,1391,516,2262,58909
1946,16,2105,706,3359,72478
10054,206,13318,5245,18314,146674
0,0,0,0,0,52
5,0,18,,21,266
26,5,53,14,68,926
88,5,129,41,178,2541
739,17,1258,395,1617,17822
1525,30,2298,773,3077,28832
3073,77,4065,1607,5604,43531
4595,77,5497,2410,7749,52704
4140,25,2945,1127,5979,67119
0,0,0,0,0,5
5,0,0,0,5,23
5,0,5,0,5,70
5,0,5,,13,242
150,5,139,38,252,3111
454,5,351,113,696,8567
1114,5,841,317,1644,18711
2410,11,1603,657,3366,36390
3253,42,3401,1566,5125,79415
5,5,10,,12,847
23,5,34,11,47,4644
61,5,60,23,99,5676
112,5,100,53,162,5360
403,10,449,229,633,11630
533,5,638,301,873,9782
789,10,871,395,1272,14240
1327,12,1239,550,2027,27236
0,0,0,0,0,5
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,0
0,0,0,0,0,5
35962,504,32448,18494,50373,346706
64,13,81,15,142,4515
296,14,252,119,441,7597
813,19,623,379,1073,10749
1808,21,1427,928,2327,17012
7710,117,6749,4125,10440,66254
8957,125,8271,4889,12455,76590
9400,123,8879,4954,13433,85270
6914,72,6166,3085,10062,78719
24921,357,25134,15494,34883,108076
36,5,44,11,75,2401
203,11,189,106,295,1551
603,15,519,351,784,3027
1376,13,1220,857,1751,5930
6037,77,5804,3763,8148,25388
6956,95,6852,4341,9555,28049
6324,88,6680,3981,9100,26329
3386,51,3826,2084,5175,15401
1943,37,1209,520,2665,31747
14,5,22,,37,918
43,5,19,,58,1510
86,5,35,13,109,1843
178,5,74,32,224,2808
547,10,265,129,692,8042
436,5,289,126,602,7160
383,11,301,127,567,5887
256,5,204,85,376,3579
70,5,46,14,103,2458
5,0,5,0,5,46
0,0,5,0,5,124
5,0,5,0,5,113
5,0,5,0,5,169
22,5,5,,27,502
13,0,12,,18,541
13,0,11,,22,475
12,0,10,,21,488
3404,59,2083,812,4728,117290
11,5,10,,22,682
38,5,25,,60,1767
90,5,40,10,121,3008
184,5,78,31,235,5094
686,25,299,118,889,22007
629,15,399,134,908,26208
913,5,616,280,1254,30218
853,5,616,234,1239,28306
1748,27,1920,696,2998,24325
5,0,0,0,5,17
5,0,5,,11,60
5,0,12,,18,212
20,0,32,,47,605
172,5,206,54,326,3944
361,5,410,141,636,5814
