group,year,month,hhs_region,state,place_of_death,age_group,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
By Month,2021,9,4,Alabama,Total - All Places of Death,85 years and over,171,0,101,58,214,1205
By Month,2021,10,4,Alabama,Total - All Places of Death,All Ages,844,5,577,333,1094,5600
By Month,2021,10,4,Alabama,Total - All Places of Death,0-17 years,5,0,5,5,5,66
By Month,2021,10,4,Alabama,Total - All Places of Death,18-29 years,12,0,11,5,15,127
By Month,2021,10,4,Alabama,Total - All Places of Death,30-39 years,29,0,20,16,33,193
By Month,2021,10,4,Alabama,Total - All Places of Death,40-49 years,85,0,46,29,102,316
By Month,2021,10,4,Alabama,Total - All Places of Death,50-64 years,271,5,155,109,320,1136
By Month,2021,10,4,Alabama,Total - All Places of Death,65-74 years,208,0,142,84,266,1333
By Month,2021,10,4,Alabama,Total - All Places of Death,75-84 years,139,5,115,55,202,1278
By Month,2021,10,4,Alabama,Total - All Places of Death,85 years and over,98,0,87,31,154,1151
By Month,2021,11,4,Alabama,Total - All Places of Death,All Ages,299,5,335,108,529,5031
By Month,2021,11,4,Alabama,Total - All Places of Death,0-17 years,5,0,0,0,5,60
By Month,2021,11,4,Alabama,Total - All Places of Death,18-29 years,5,5,5,5,5,89
By Month,2021,11,4,Alabama,Total - All Places of Death,30-39 years,13,0,5,5,16,151
By Month,2021,11,4,Alabama,Total - All Places of Death,40-49 years,22,0,14,5,28,235
By Month,2021,11,4,Alabama,Total - All Places of Death,50-64 years,84,5,66,31,119,944
By Month,2021,11,4,Alabama,Total - All Places of Death,65-74 years,77,0,99,29,147,1183
By Month,2021,11,4,Alabama,Total - All Places of Death,75-84 years,65,5,93,27,132,1285
By Month,2021,11,4,Alabama,Total - All Places of Death,85 years and over,36,5,55,5,84,1084
By Month,2021,12,4,Alabama,Total - All Places of Death,All Ages,317,5,352,96,577,5323
By Month,2021,12,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0,5,67
By Month,2021,12,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,0,5,116
By Month,2021,12,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,5,11,169
By Month,2021,12,4,Alabama,Total - All Places of Death,40-49 years,32,0,19,5,44,277
By Month,2021,12,4,Alabama,Total - All Places of Death,50-64 years,75,5,71,25,123,995
By Month,2021,12,4,Alabama,Total - All Places of Death,65-74 years,79,0,86,26,139,1189
By Month,2021,12,4,Alabama,Total - All Places of Death,75-84 years,76,0,87,23,140,1304
By Month,2021,12,4,Alabama,Total - All Places of Death,85 years and over,44,5,80,14,112,1206
By Month,2022,1,4,Alabama,Total - All Places of Death,All Ages,1234,14,674,399,1521,6695
By Month,2022,1,4,Alabama,Total - All Places of Death,0-17 years,5,0,5,0,5,61
By Month,2022,1,4,Alabama,Total - All Places of Death,18-29 years,11,5,5,5,14,122
By Month,2022,1,4,Alabama,Total - All Places of Death,30-39 years,18,5,5,5,23,144
By Month,2022,1,4,Alabama,Total - All Places of Death,40-49 years,58,5,23,15,68,297
By Month,2022,1,4,Alabama,Total - All Places of Death,50-64 years,293,5,141,89,348,1291
By Month,2022,1,4,Alabama,Total - All Places of Death,65-74 years,295,0,169,106,358,1547
By Month,2022,1,4,Alabama,Total - All Places of Death,75-84 years,330,5,186,111,409,1718
By Month,2022,1,4,Alabama,Total - All Places of Death,85 years and over,227,5,139,71,296,1515
By Month,2022,2,4,Alabama,Total - All Places of Death,All Ages,1257,5,675,447,1489,5964
By Month,2022,2,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0,5,55
By Month,2022,2,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5,5,109
By Month,2022,2,4,Alabama,Total - All Places of Death,30-39 years,11,5,5,5,14,142
By Month,2022,2,4,Alabama,Total - All Places of Death,40-49 years,37,0,18,10,45,240
By Month,2022,2,4,Alabama,Total - All Places of Death,50-64 years,248,5,118,82,284,1087
By Month,2022,2,4,Alabama,Total - All Places of Death,65-74 years,360,0,191,133,418,1381
By Month,2022,2,4,Alabama,Total - All Places of Death,75-84 years,348,5,211,140,421,1562
By Month,2022,2,4,Alabama,Total - All Places of Death,85 years and over,249,5,124,75,299,1388
By Month,2022,3,4,Alabama,Total - All Places of Death,All Ages,382,5,354,137,606,5010
By Month,2022,3,4,Alabama,Total - All Places of Death,0-17 years,0,0,0,0,0,50
By Month,2022,3,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5,5,85
By Month,2022,3,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,5,5,162
By Month,2022,3,4,Alabama,Total - All Places of Death,40-49 years,5,0,5,5,13,227
By Month,2022,3,4,Alabama,Total - All Places of Death,50-64 years,88,5,80,38,131,932
By Month,2022,3,4,Alabama,Total - All Places of Death,65-74 years,105,5,90,36,160,1139
By Month,2022,3,4,Alabama,Total - All Places of Death,75-84 years,121,5,105,40,189,1312
By Month,2022,3,4,Alabama,Total - All Places of Death,85 years and over,58,5,63,19,104,1103
By Month,2022,4,4,Alabama,Total - All Places of Death,All Ages,90,5,214,16,290,4554
By Month,2022,4,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0,5,71
By Month,2022,4,4,Alabama,Total - All Places of Death,18-29 years,0,0,5,0,5,96
By Month,2022,4,4,Alabama,Total - All Places of Death,30-39 years,5,5,5,5,5,131
By Month,2022,4,4,Alabama,Total - All Places of Death,40-49 years,0,0,5,0,5,247
By Month,2022,4,4,Alabama,Total - All Places of Death,50-64 years,19,0,36,5,52,815
By Month,2022,4,4,Alabama,Total - All Places of Death,65-74 years,25,0,58,5,79,1040
By Month,2022,4,4,Alabama,Total - All Places of Death,75-84 years,22,0,68,5,86,1111
By Month,2022,4,4,Alabama,Total - All Places of Death,85 years and over,21,5,40,5,58,1043
By Month,2022,5,4,Alabama,Total - All Places of Death,All Ages,65,0,221,15,271,4613
By Month,2022,5,4,Alabama,Total - All Places of Death,0-17 years,0,0,0,0,0,66
By Month,2022,5,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,0,5,109
By Month,2022,5,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,0,5,152
By Month,2022,5,4,Alabama,Total - All Places of Death,40-49 years,5,0,11,5,13,230
By Month,2022,5,4,Alabama,Total - All Places of Death,50-64 years,14,0,39,5,46,821
By Month,2022,5,4,Alabama,Total - All Places of Death,65-74 years,13,0,59,5,70,1052
By Month,2022,5,4,Alabama,Total - All Places of Death,75-84 years,16,0,60,5,72,1156
By Month,2022,5,4,Alabama,Total - All Places of Death,85 years and over,17,0,46,5,62,1027
By Month,2022,6,4,Alabama,Total - All Places of Death,All Ages,112,0,219,31,300,4618
By Month,2022,6,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0,5,54
By Month,2022,6,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5,5,87
By Month,2022,6,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,0,5,158
By Month,2022,6,4,Alabama,Total - All Places of Death,40-49 years,5,0,11,5,11,245
By Month,2022,6,4,Alabama,Total - All Places of Death,50-64 years,16,0,36,5,49,857
By Month,2022,6,4,Alabama,Total - All Places of Death,65-74 years,22,0,62,10,74,1015
By Month,2022,6,4,Alabama,Total - All Places of Death,75-84 years,36,0,56,10,82,1154
By Month,2022,6,4,Alabama,Total - All Places of Death,85 years and over,31,0,48,5,74,1048
By Month,2022,7,4,Alabama,Total - All Places of Death,All Ages,250,5,235,57,429,4865
By Month,2022,7,4,Alabama,Total - All Places of Death,0-17 years,5,0,5,5,5,75
By Month,2022,7,4,Alabama,Total - All Places of Death,18-29 years,5,0,0,0,5,109
