,group,year,month,hhs_region,state,place_of_death,age_group,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
218,By Month,2022,1,9,Arizona,Total - All Places of Death,18-29 years,24,0,19,13.0,30,147
219,By Month,2022,1,9,Arizona,Total - All Places of Death,30-39 years,56,5,35,29.0,63,257
220,By Month,2022,1,9,Arizona,Total - All Places of Death,40-49 years,114,0,77,66.0,125,364
221,By Month,2022,1,9,Arizona,Total - All Places of Death,50-64 years,406,5,316,251.0,476,1377
222,By Month,2022,1,9,Arizona,Total - All Places of Death,65-74 years,535,5,406,318.0,624,1851
223,By Month,2022,1,9,Arizona,Total - All Places of Death,75-84 years,579,5,428,324.0,687,2310
224,By Month,2022,1,9,Arizona,Total - All Places of Death,85 years and over,365,5,284,197.0,453,2155
225,By Month,2022,2,9,Arizona,Total - All Places of Death,All Ages,1350,5,1035,750.0,1638,6876
226,By Month,2022,2,9,Arizona,Total - All Places of Death,0-17 years,5,0,0,0.0,5,58
227,By Month,2022,2,9,Arizona,Total - All Places of Death,18-29 years,5,0,5,5.0,5,141
228,By Month,2022,2,9,Arizona,Total - All Places of Death,30-39 years,23,0,19,15.0,27,195
229,By Month,2022,2,9,Arizona,Total - All Places of Death,40-49 years,49,0,37,26.0,60,285
230,By Month,2022,2,9,Arizona,Total - All Places of Death,50-64 years,216,5,164,121.0,261,1027
231,By Month,2022,2,9,Arizona,Total - All Places of Death,65-74 years,352,0,283,215.0,420,1532
232,By Month,2022,2,9,Arizona,Total - All Places of Death,75-84 years,418,5,313,222.0,510,1855
233,By Month,2022,2,9,Arizona,Total - All Places of Death,85 years and over,284,0,215,149.0,350,1783
234,By Month,2022,3,9,Arizona,Total - All Places of Death,All Ages,452,5,515,231.0,741,6331
235,By Month,2022,3,9,Arizona,Total - All Places of Death,0-17 years,5,0,5,0.0,5,75
236,By Month,2022,3,9,Arizona,Total - All Places of Death,18-29 years,5,0,5,0.0,5,148
237,By Month,2022,3,9,Arizona,Total - All Places of Death,30-39 years,5,0,10,5.0,15,200
238,By Month,2022,3,9,Arizona,Total - All Places of Death,40-49 years,5,5,13,5.0,17,251
239,By Month,2022,3,9,Arizona,Total - All Places of Death,50-64 years,70,0,85,37.0,118,956
240,By Month,2022,3,9,Arizona,Total - All Places of Death,65-74 years,116,5,137,77.0,178,1304
241,By Month,2022,3,9,Arizona,Total - All Places of Death,75-84 years,146,5,155,71.0,231,1695
242,By Month,2022,3,9,Arizona,Total - All Places of Death,85 years and over,99,5,112,37.0,175,1702
243,By Month,2022,4,9,Arizona,Total - All Places of Death,All Ages,125,5,317,59.0,390,5659
244,By Month,2022,4,9,Arizona,Total - All Places of Death,0-17 years,5,5,5,0.0,5,63
245,By Month,2022,4,9,Arizona,Total - All Places of Death,18-29 years,5,0,0,0.0,5,159
246,By Month,2022,4,9,Arizona,Total - All Places of Death,30-39 years,5,0,5,5.0,5,191
247,By Month,2022,4,9,Arizona,Total - All Places of Death,40-49 years,5,0,12,5.0,13,265
248,By Month,2022,4,9,Arizona,Total - All Places of Death,50-64 years,16,5,40,5.0,53,838
249,By Month,2022,4,9,Arizona,Total - All Places of Death,65-74 years,29,5,90,14.0,106,1143
250,By Month,2022,4,9,Arizona,Total - All Places of Death,75-84 years,41,5,85,18.0,110,1484
251,By Month,2022,4,9,Arizona,Total - All Places of Death,85 years and over,33,5,84,19.0,99,1516
252,By Month,2022,5,9,Arizona,Total - All Places of Death,All Ages,128,14,349,50.0,440,5839
253,By Month,2022,5,9,Arizona,Total - All Places of Death,0-17 years,0,5,5,0.0,5,84
254,By Month,2022,5,9,Arizona,Total - All Places of Death,18-29 years,5,0,5,5.0,5,127
255,By Month,2022,5,9,Arizona,Total - All Places of Death,30-39 years,5,0,5,5.0,10,202
256,By Month,2022,5,9,Arizona,Total - All Places of Death,40-49 years,5,5,19,5.0,21,296
257,By Month,2022,5,9,Arizona,Total - All Places of Death,50-64 years,20,5,65,5.0,79,919
258,By Month,2022,5,9,Arizona,Total - All Places of Death,65-74 years,33,5,68,11.0,91,1159
259,By Month,2022,5,9,Arizona,Total - All Places of Death,75-84 years,30,5,110,13.0,131,1532
260,By Month,2022,5,9,Arizona,Total - All Places of Death,85 years and over,38,5,73,14.0,101,1520
261,By Month,2022,6,9,Arizona,Total - All Places of Death,All Ages,218,5,356,95.0,483,5630
262,By Month,2022,6,9,Arizona,Total - All Places of Death,0-17 years,5,5,5,0.0,5,78
263,By Month,2022,6,9,Arizona,Total - All Places of Death,18-29 years,5,0,5,5.0,5,152
264,By Month,2022,6,9,Arizona,Total - All Places of Death,30-39 years,5,5,5,5.0,5,223
265,By Month,2022,6,9,Arizona,Total - All Places of Death,40-49 years,5,0,17,5.0,19,270
266,By Month,2022,6,9,Arizona,Total - All Places of Death,50-64 years,19,0,57,10.0,66,887
267,By Month,2022,6,9,Arizona,Total - All Places of Death,65-74 years,40,5,77,20.0,98,1085
268,By Month,2022,6,9,Arizona,Total - All Places of Death,75-84 years,57,0,97,20.0,134,1450
269,By Month,2022,6,9,Arizona,Total - All Places of Death,85 years and over,93,5,99,40.0,153,1485
270,By Month,2022,7,9,Arizona,Total - All Places of Death,All Ages,268,5,315,106.0,479,6131
271,By Month,2022,7,9,Arizona,Total - All Places of Death,0-17 years,5,0,5,0.0,5,63
272,By Month,2022,7,9,Arizona,Total - All Places of Death,18-29 years,5,0,5,5.0,5,169
273,By Month,2022,7,9,Arizona,Total - All Places of Death,30-39 years,5,5,5,5.0,11,276
274,By Month,2022,7,9,Arizona,Total - All Places of Death,40-49 years,12,0,14,5.0,20,298
275,By Month,2022,7,9,Arizona,Total - All Places of Death,50-64 years,39,0,44,13.0,70,1030
276,By Month,2022,7,9,Arizona,Total - All Places of Death,65-74 years,53,0,67,24.0,96,1235
277,By Month,2022,7,9,Arizona,Total - All Places of Death,75-84 years,81,0,98,32.0,147,1553
278,By Month,2022,7,9,Arizona,Total - All Places of Death,85 years and over,75,5,78,27.0,127,1507
279,By Month,2022,8,9,Arizona,Total - All Places of Death,All Ages,196,5,321,69.0,449,5700
280,By Month,2022,8,9,Arizona,Total - All Places of Death,0-17 years,5,0,5,0.0,5,74
281,By Month,2022,8,9,Arizona,Total - All Places of Death,18-29 years,5,0,5,5.0,5,154
